0;222;706;1;250;;
1;222;678;0,2;247;;
2;222;628;1,3;248;;
3;222;560;4,5,2,6;;;
4;242;560;3;246;;
5;198;560;3;245;;
6;222;520;3,7;244;;
7;222;472;6,8;242;;
8;222;432;9,7;243;;
9;222;380;8,11,10,12;;;
10;242;380;9;240;;
11;198;380;9;241;;
12;222;338;9,13;238а;;
13;222;296;12,14;241а;;
14;222;180;13,15;239;;
15;222;102;37,14,16;237;;
16;290;102;15,17;238;;
17;376;102;16,18;236;;
18;448;102;17,19;235;;
19;478;102;20,21,18,22;;;
20;478;82;19;233;;
21;478;120;19;234;;
22;512;102;19,23;231;;
23;548;102;22,24;229;;
24;618;102;25,26,23,27;;;
25;618;82;24;227;;
26;618;120;24;232;;
27;656;102;63,24,28;225;;
28;742;102;27,29;223;;
29;836;102;28,30;228;;
30;876;102;31,29,33,39;;;
31;876;60;30,36,32;;;
32;932;60;31;219;;
33;954;102;30,34;;;
34;954;168;33;217;;
35;836;38;36;Л2;Л;
36;876;38;31,35;;;
37;222;38;15,38;;;
38;290;38;37;Л1;Л;
39;876;238;30,40;215а;;
40;876;338;39,42,41,43;;;
41;902;338;40;215;;
42;856;338;40;226;;
43;876;380;40,44;213;;
44;876;414;43,45;224;;
45;876;460;44,46;211;;
46;876;508;45,47;222;;
47;876;540;46,48;209;;
48;876;576;47,49,50;216;;
49;856;576;48;218;;
50;876;608;48,51,52;205;;
51;902;608;50;207;;
52;876;678;50,53;214;;
53;876;736;52,54,55,56;;;
54;856;736;53;212;;
55;902;736;53;203;;
56;876;778;53,57;210;;
57;876;836;56,58;208;;
58;876;878;59,57;206;;
59;876;940;58,61,60,62;;;
60;856;940;59;204;;
61;902;940;59;201;;
62;876;998;59;202;;
63;656;130;27;230;;
