0;286;408;1;129т;;
1;286;384;0,2,3,4;;;
2;248;384;1;129;;
3;320;384;1;131;;
4;286;278;1,5;127;;
5;286;192;4,6;125;;
6;286;130;5,7,10;;;
7;232;130;6,8;123;;
8;84;130;9,7;;;
9;84;98;8;123а;;
10;378;130;6,11;121;;
11;464;130;12,10;119;;
12;508;130;11,13,15;;;
13;508;210;12,14;;;
14;424;210;13;116;;
15;768;130;12,16;117;;
16;816;130;15,17;115;;
17;954;130;16,20,18;113;;
18;954;178;17,19;112;;
19;954;210;18;114;;
20;1002;130;17,21;111;;
21;1116;130;20,22;109;;
22;1162;130;23,21,44;;;
23;1162;98;22;Л1;Л;
24;1402;130;41,25,26;;;
25;1402;98;24;Л2;Л;
26;1448;130;24,27;107;;
27;1496;130;28,29,30,26;;;
28;1496;98;27;105;;
29;1496;228;27;106;;
30;1540;130;27,31;106а;;
31;1692;130;30,32,33,34;;;
32;1692;98;31;105а;;
33;1692;178;31;106в;;
34;1742;130;35,31;103;;
35;1784;130;36,34,38;;;
36;1784;178;37,35;102;;
37;1784;250;36;100;;
38;1812;130;39,35;103б;;
39;1836;130;38,40;103а;;
40;1990;130;39;101;;
41;1352;130;24,44,42;;;
42;1352;296;41,43;106б;;
43;1352;384;42;Ул;Ул;
44;1312;130;22,45,41;;;
45;1312;70;44;Л3;Л;
