0;188;1162;1;442;;
1;188;1096;0,2,3,4;;;
2;160;1096;1;445;;
3;214;1096;1;440;;
4;188;968;5,1;443;;
5;188;898;4,6;438;;
6;188;830;5,7;441;;
7;188;712;6,8,9,10;;;
8;160;712;7;439;;
9;214;712;7;436;;
10;188;644;12,11,13,7;;;
11;160;644;10;437;;
12;214;644;10;434;;
13;188;576;14,15,10,16;;;
14;160;576;13;435а;;
15;214;576;13;432;;
16;188;218;13,17,18;;;
17;188;172;16;435;;
18;238;218;16,19,78,20;;;
19;238;256;18;430;;
20;296;218;18,21,22;;;
21;296;256;20;428;;
22;394;218;23,24,20;;;
23;394;158;22;433;;
24;418;218;22,25,26;;;
25;418;256;24;426;;
26;560;218;24,27,28;;;
27;560;256;26;426а;;
28;608;218;30,26,29;;;
29;608;256;28;424;;
30;630;218;28,31,32;;;
31;630;158;30;431;;
32;656;218;34,30,33;;;
33;656;256;32;422;;
34;682;218;32,35,36;;;
35;682;158;34;429;;
36;706;218;38,37,34;;;
37;706;256;36;420;;
38;760;218;36,39,40,41;;;
39;760;158;38;427;;
40;760;256;38;418а;;
41;978;218;42,43,38,44;;;
42;978;158;41;427а;;
43;978;256;41;418;;
44;1086;218;45,41,46;;;
45;1086;256;44;416;;
46;1148;218;48,49,44;;;
47;1148;70;48;Л2;Л;
48;1148;172;46,47;425;;
49;1148;290;46,50;423;;
50;1148;576;49,51;421;;
51;1148;612;50,52,53,54;;;
52;1128;612;51;414;;
53;1176;612;51;419;;
54;1148;644;55,56,57,51;;;
55;1128;644;54;412;;
56;1176;644;54;417;;
57;1148;758;58,59,54;;;
58;1176;758;57;415;;
59;1148;792;60,57,61;;;
60;1128;792;59;410;;
61;1148;886;62,63,59,64;;;
62;1176;886;61;413;;
63;1128;886;61;408;;
64;1148;982;65,61,66;;;
65;1176;982;64;411;;
66;1148;1124;67,68,69,64;;;
67;1176;1124;66;409;;
68;1128;1124;66;406;;
69;1148;1162;66,70;407;;
70;1148;1220;69,71;405;;
71;1148;1330;70,72;404;;
72;1148;1404;73,74,71,75;;;
73;1176;1404;72;403;;
74;1128;1404;72;402;;
75;1148;1496;76,77,72;;;
76;1128;1496;75;400;;
77;1148;1576;75;401;;
78;246;70;18;Л1;Л;
